Date,Open,High,Low,Shares Traded,Turnover (Rs. Cr),Close
31-May-02,1032.5,1037.7,1020.1,48912840,1410.37,1028.8
03-Jun-02,1029.25,1047.25,1029.25,35078791,965.33,1039.75
04-Jun-02,1040.15,1047.4,1036.55,31085674,826.65,1045.4
05-Jun-02,1045.55,1067.5,1045,48382002,1242.79,1064.2
06-Jun-02,1064.15,1072,1055.5,49917727,1214.73,1064.35
07-Jun-02,1063.75,1063.75,1044.35,34431823,1040.09,1048.8
10-Jun-02,1049.95,1072.5,1049.95,36192600,920.75,1069.9
11-Jun-02,1070.95,1099.5,1070.55,57802224,1366.89,1097.05
12-Jun-02,1097.15,1100.45,1088.5,45733083,1102.81,1092.8
13-Jun-02,1093,1102.05,1080.8,36920383,1022.39,1082.85
14-Jun-02,1081.75,1087.6,1079.45,45124098,1083.03,1085.7
17-Jun-02,1085.8,1097.55,1085.7,35014054,808.88,1088.9
18-Jun-02,1088.9,1097.4,1073.75,38285735,998.81,1074.95
19-Jun-02,1074.7,1079.2,1056.45,46367417,1301.88,1062.9
20-Jun-02,1063.1,1074,1056.25,44432596,1178.65,1070.05
21-Jun-02,1069.5,1069.8,1058.95,36400989,971.51,1062.55
24-Jun-02,1065.6,1065.6,1054.45,28998464,794.71,1061.85
25-Jun-02,1061.9,1063.3,1048.55,48986465,1232.46,1055.4
26-Jun-02,1055.35,1061.05,1042.2,38081458,1045.71,1044.2
27-Jun-02,1044.5,1053.7,1044,50093269,1332.19,1048.55
28-Jun-02,1049.4,1068.9,1049.4,42669654,1093.41,1057.8
01-Jul-02,1058,1070.15,1058,31615730,832.49,1068.95
02-Jul-02,1067.9,1071.7,1064.95,42057870,1056.49,1068.05
03-Jul-02,1067.8,1074,1065.55,39630859,1200.01,1069.9
04-Jul-02,1069.95,1078.55,1068.4,39803828,1224.05,1070.55
05-Jul-02,1071,1076.2,1067.45,31658677,969.3,1073.8
08-Jul-02,1074,1085.3,1072.9,41663659,1144.66,1082.05
